Period (days),Amplitude
1239.8,0.89394
490.94,1.964
367.62,4.6722
281.3,2.004
218.23,2.4535
176.72,0.91546
138.28,0.80984
138.28,2.002
113.19,0.70024
96.546,1.1483
88.126,0.60782
78.615,0.5042
76.411,0.75775
68.105,1.0814
61.163,1.4845
57.94,1.3996
54.991,1.0523
51.903,0.99809
47.558,1.2244
47.218,2.0755
44.336,0.78889
41.204,0.64585
39.178,0.32228
38.893,1.5223
36.196,2.1544
34.957,1.2585
33.698,1.2496
31.929,0.52491
31.6,1.3837
30.021,0.50852
29.26,0.3619
28.266,0.50558
27.113,0.61498
26.037,0.7293
25.424,0.55126
24.469,0.8781
23.801,0.84278
23.526,1.1483
22.894,1.7011
22.575,2.3953
22.458,1.3754
21.618,2.1006
21.102,1.5685
20.545,1.2736
20.09,1.1651
19.697,1.1547
19.346,0.60735
18.855,0.45971
18.547,0.7251
18.082,0.90434
17.598,1.5764
17.35,1.5441
16.847,0.68723
16.629,1.9588
16.476,0.26153
16.1,1.7089
15.766,1.2251
15.444,0.95631
15.246,1.2639
14.951,0.85294
14.759,0.91927
14.423,0.2303
14.119,1.2902
14.052,0.98857
13.723,0.62886
13.527,1.2862
13.321,1.847
13.096,0.99822
12.906,0.8875
12.702,0.6342
12.583,1.0075
12.368,0.3451
12.22,1.7353
12.021,0.92402
11.92,0.41794
11.651,0.65703
11.529,0.91909
11.374,0.38893
11.239,0.79731
11.162,0.51561
11.019,1.2384
10.889,0.53289
10.694,1.3895
10.691,0.34982
10.445,1.0337
10.355,0.73766
10.22,0.14962
10.041,0.18766
9.982,0.9182
9.8081,0.84234
9.7959,1.5109
9.591,0.42374
9.5869,0.98376
9.3998,0.39556
9.3642,1.2794
9.2905,0.71788
9.1781,0.82098
9.0573,0.29839
8.9633,1.5709
8.8441,1.0987
8.7721,1.0177
8.6404,0.88525
8.5758,0.30274
8.4785,0.7944
8.3787,1.5258
8.3648,1.2089
8.2751,2.0075
8.2118,1.073
8.1445,0.58527
8.1327,0.95037
8.0546,1.4212
8.0392,2.1515
7.918,0.36158
7.8832,0.30243
7.7766,0.44806
7.726,1.457
7.6434,1.0306
7.57,1.155
7.5049,0.60653
7.4055,0.61887
7.3315,1.0276
7.3022,0.82523
7.2035,1.1351
7.1932,0.33447
7.1365,0.80975
7.1007,0.70658
7.0212,1.2143
6.9465,0.84128
6.8963,0.79614
6.8206,0.44881
6.7815,1.3527
6.7234,1.0676
6.6991,0.96828
6.6301,1.0011
6.589,0.99012
6.5404,1.2324
6.5069,1.1733
6.471,1.1378
6.4179,0.62599
6.3616,1.0763
6.3198,1.1698
6.2716,0.98136
6.2199,2.1371
6.1766,1.7995
6.1212,2.4415
6.0745,3.9693
6.0427,2.4578
5.989,3.3325
5.9602,0.9287
5.9406,3.7363
5.8901,1.706
5.858,2.5492
5.8227,1.3078
5.7939,0.84612
5.7459,0.64421
5.708,0.87128
5.6817,0.98972
5.6338,1.4588
5.5873,0.81131
5.5493,0.44113
5.5201,0.17131
5.4868,0.45884
5.4507,0.65709
5.4236,0.63489
5.3742,2.0985
5.356,1.5949
5.3024,1.0734
5.2935,0.8282
5.2453,0.45041
5.2096,1.1055
5.183,0.32094
5.1473,0.45093
5.1223,0.69393
5.1144,0.70111
5.0964,0.40745
5.059,0.57318
5.0191,0.35111
4.9747,0.51651
4.9654,0.22809
4.9561,0.4995
4.9144,0.11306
4.9008,0.57253
4.8696,0.44834
4.8308,0.52558
4.809,0.8918
4.7763,0.63468
4.7519,0.7326
4.7143,0.40611
4.6963,1.0773
4.66,0.2154
4.6357,1.4185
4.6237,0.40068
4.6011,0.1904
4.5633,0.40844
4.5503,0.67447
4.5192,0.31965
4.5102,0.42368
4.4909,0.47573
4.4644,0.66141
4.4396,0.42967
4.4099,0.33656
4.3972,0.66579
4.3734,0.87059
4.3354,0.65641
4.3346,0.55751
4.3157,0.96288
4.2876,0.097463
4.2666,0.45624
4.2391,0.44526
4.2235,0.23031
4.1958,0.64383
4.1872,1.5393
4.1761,0.45493
4.1483,0.95683
4.1235,0.80892
4.1092,0.65185
4.0869,0.94259
4.0707,0.23878
4.0496,0.2478
4.0299,0.63425
4.0128,0.94877
4.0031,0.90662
3.9784,0.0899
3.9592,0.66401
3.9367,0.4872
3.9185,1.1043
3.9019,0.6731
3.8803,0.62201
3.8694,0.12182
3.8518,0.96562
3.8364,0.49229
3.814,0.8449
3.7968,0.51372
3.7735,0.97168
3.7731,1.0198
3.7525,0.30265
3.7348,0.82124
3.7288,1.0334
3.7185,0.57656
3.7084,0.54755
3.6878,0.30674
3.6671,0.2495
3.651,0.41016
3.6309,0.33433
3.6149,0.53905
3.6009,1.5471
3.6004,1.1895
3.5721,0.37999
3.57,0.59401
3.5549,0.53075
3.5419,0.55146
3.5238,0.36062
3.5064,0.65823
3.4903,0.19085
3.4726,0.46909
3.4724,0.25497
3.4498,0.098032
3.4355,0.49634
3.426,0.3994
3.4063,0.52271
3.4014,0.46364
3.3803,0.67785
3.3692,0.39976
3.3563,0.27514
3.3446,0.92972
3.329,0.41983
3.3166,1.102
3.3054,0.47573
3.2861,0.36655
3.2829,0.56812
3.2655,0.1133
3.2536,0.39517
3.2327,0.47052
3.2253,1.0819
3.2247,0.32127
3.2038,0.83207
3.203,1.2832
3.1854,0.34024
3.1771,0.32801
3.1615,0.99876
3.1574,0.2231
3.1405,0.40095
3.1301,1.1198
3.1225,0.36958
3.1156,1.0964
3.1011,0.70879
3.091,0.38404
3.078,0.74057
3.064,0.19153
3.0557,0.17492
3.0439,0.18685
3.0336,0.099205
3.0204,0.28607
3.0078,0.77874
3.003,0.46923
2.9897,0.15967
2.9804,0.41505
2.9708,0.4652
2.9574,0.52735
2.953,0.33978
2.9391,0.20145
2.9308,0.46092
2.9204,0.22736
2.9084,0.72503
2.9011,0.47356
2.901,0.25859
2.8873,0.68276
2.876,0.16708
2.8651,0.59679
2.8582,0.25634
2.8522,0.14283
2.8396,0.095409
2.8313,0.1043
2.8262,0.38311
2.816,0.38599
2.8056,0.37487
2.798,0.38195
2.7836,0.57456
2.7828,0.62429
2.7686,0.087763
2.7569,0.67207
2.7537,1.0585
2.7407,0.60794
2.734,0.73243
2.7246,0.67351
2.7154,0.66042
2.7079,0.30025
2.7039,0.96456
2.6923,0.18139
2.6913,0.48017
2.6766,0.25226
2.6706,0.87269
2.6601,0.77763
2.6581,0.82415
2.6499,0.45159
2.6396,0.73503
2.6279,0.087543
2.6206,0.22079
2.6136,0.15576
2.6005,0.44911
2.5997,0.32766
2.5926,0.33684
2.5838,0.34506
2.5739,0.27157
2.5698,0.14686
2.5627,0.18159
2.5558,0.32609
2.548,0.30146
2.5376,0.29411
2.5304,0.25202
2.5254,0.13374
2.5154,0.6174
2.5077,0.50303
2.5008,0.95962
2.4935,1.0374
2.4903,0.205
2.4791,0.18096
2.4738,0.46929
2.4635,0.65162
2.462,0.16022
2.4528,0.21724
2.446,0.39176
2.4382,0.20508
2.4298,0.50451
2.4228,0.2072
2.419,0.59361
2.4133,0.76111
2.4108,0.73265
2.4054,0.24191
2.3979,0.3447
2.3946,0.29154
2.3866,0.1139
2.3805,0.22183
2.3739,0.25923
2.366,0.20591
2.3586,0.27622
2.3547,0.078331
2.3477,0.50261
2.341,0.10548
2.3333,0.15243
2.3268,0.25176
2.3199,0.42745
2.316,0.16047
2.3074,0.20178
2.3012,0.1788
2.2964,0.16939
2.2884,0.30972
2.2848,0.35235
2.2764,0.25428
2.274,0.19466
2.2657,0.20549
2.2581,0.096055
2.2534,0.51748
2.2493,0.24738
2.2419,0.28203
2.24,0.19117
2.2328,0.18039
2.2279,0.12448
2.22,0.54487
2.2144,1.0017
2.2085,0.5218
2.2067,0.56845
2.1984,0.40272
2.1937,0.29457
2.1868,0.055748
2.1788,0.19731
2.1725,0.12317
2.1683,0.2622
2.1652,0.44062
2.1597,0.18473
2.1533,0.55321
2.1482,0.33733
2.1433,0.21605
2.136,0.47896
2.1302,0.48215
2.1301,0.25067
2.1229,0.76864
2.1165,0.38569
2.114,0.087647
2.1089,0.55192
2.1046,0.5961
2.0954,0.24553
2.0953,0.31364
2.0847,0.54976
2.0838,0.32324
2.0808,0.2487
2.0745,0.44222
2.0694,0.14242
2.0648,0.3949
2.0587,0.41632
2.0538,0.24409
2.0498,0.28518
2.0456,0.14187
2.0396,0.21179
2.0341,0.25125
2.0312,0.26484
2.0249,0.10385
2.0215,0.33552
2.0138,0.34136
2.0106,0.53554
2.0048,0.31895
2,0.69532
